BirthYear,animalGender,AnimalName,DogCount
1976,F,BLACKIE,1
1976,F,BLANCA,1
1976,F,BONEY,1
1976,F,BONNIE,1
1976,F,BOOBIE,1
1976,F,BOOKIE,1
1976,F,BOTZ,1
1976,F,BOZZO,1
1976,F,BRANDY,4
1976,F,BROSH,1
1976,F,BROWNIE,2
1976,F,BRUNI,1
1976,F,BUDDY,1
1976,F,BUFFY,2
1976,F,CANDY,2
1976,F,CHANEL,1
1976,F,CHANTEE,1
1976,F,CHARLIE,1
1976,F,CHESTNUT,1
1976,F,CHI,2
1976,F,CHINUKE,1
1976,F,CHIPPER,1
1976,F,CHIPPIE,1
1976,F,CHIPPY,1
1976,F,CHIQUIE,1
1976,F,CHOO,1
1976,F,CHRISTIE,1
1976,F,CINDY,3
1976,F,CLOUDY,1
1976,F,CLUADIA,1
1976,F,COOKIE,1
1976,F,COOKY,1
1976,F,CORKEY,1
1976,F,CORKY,1
1976,F,CORONA,1
1976,F,CORTNEY,1
1976,F,CORY,1
1976,F,CRYSTAL,1
1976,F,CUZZI,1
1976,F,CYBIL,1
1976,F,DAFFY,1
1976,F,DAISY,6
1976,F,DAWG,1
1976,F,DEANIA,1
1976,F,DIAMOND,1
1976,F,DIANA,1
1976,F,DISCO,1
1976,F,DIXIE,1
1976,F,DOBIE,1
1976,F,DOJO,1
1976,F,DUCHESS,1
1976,F,DUFFIE,1
1976,F,DUFFY,1
1976,F,DUSTY,1
1976,F,DUTCHESS,3
1976,F,ELOISE,1
1976,F,EMPRESS,1
1976,F,ENG,1
1976,F,EPSILON,1
1976,F,FARAHH,1
1976,F,FARRAH,1
1976,F,FEE,1
1976,F,FIFI,1
1976,F,FLETA,1
1976,F,FLUFFY,2
1976,F,FOXY,1
1976,F,FRISKY,1
1976,F,FROSTY,1
1976,F,GERALDINE,1
1976,F,GIGI,3
1976,F,GINGER,4
1976,F,GYPSY,1
1976,F,HAPPY,2
1976,F,HEIDI,1
1976,F,HILDA,1
1976,F,IFFIE,1
1976,F,IO,1
1976,F,IRITZ,1
1976,F,IVY,1
1976,F,JASMINE,1
1976,F,JC,1
1976,F,JESSIE,1
1976,F,JOY,1
1976,F,JUNE,1
1976,F,KELLIE,1
1976,F,KELLY,2
1976,F,KERI,1
1976,F,KIMO,1
1976,F,KISSIE,1
1976,F,KISSY,1
1976,F,LADY,6
1976,F,LAMBCHOP,2
1976,F,LEFTI,1
1976,F,LICORICE,1
1976,F,LILLE,1
1976,F,LINDA,1
1976,F,LING-LING,1
1976,F,LITTLE,1
1976,F,LOUISE,1
1976,F,LOVE,1
1976,F,LUCKY,1
1976,F,LUCY,1
1976,F,LULU,1
1976,F,LUPITA,1
1976,F,MACHO,1
1976,F,MAGGIE,2
1976,F,MAMA,1
1976,F,MANDY,2
1976,F,MARUSHKA,1
1976,F,MEGSY,1
1976,F,MIMI,2
1976,F,MISSIE,1
1976,F,MISSY,1
1976,F,MISTY,3
1976,F,MITSY,1
1976,F,MITTENS,1
1976,F,MITZI,3
1976,F,MOCHA,1
1976,F,MONA,1
1976,F,MOPSEY,1
1976,F,MUFFIE,1
1976,F,MUFFIN,5
1976,F,MUFFY,1
1976,F,MUSZKA,1
1976,F,NAF,1
1976,F,NANOI,1
1976,F,NATASHA,1
1976,F,NEGRITA,1
1976,F,NICKI,1
1976,F,NICOLE,1
1976,F,NINA,1
1976,F,NOELLE,1
1976,F,OREO,1
1976,F,PATCHES,1
1976,F,PENELOPE,1
1976,F,PENNY,3
1976,F,PEPPER,3
1976,F,PEPSI,1
1976,F,PG,1
1976,F,PLOEBE,1
1976,F,POCHA,1
1976,F,POCO,1
1976,F,POKIE,1
1976,F,POOCHIE,2
1976,F,POONI,1
1976,F,PRINCESS,16
1976,F,PRINCIE,2
1976,F,PUPPY,2
1976,F,QUANTAS,1
1976,F,QUEENIE,5
1976,F,QUEENY,1
1976,F,QUINNIE,1
1976,F,REANIE,1
1976,F,ROSIE,1
1976,F,RUSTY,1
1976,F,SABRINA,1
1976,F,SALLY,1
1976,F,SANDY,5
1976,F,SANTA,1
1976,F,SASSY,1
1976,F,SAVAGE,2
1976,F,SHANDY,1
1976,F,SHANE,1
1976,F,SHANNA,2
1976,F,SHEBA,5
1976,F,SHIEBA,1
1976,F,SIGMONE,1
1976,F,SINBAD,1
1976,F,SISSY,1
1976,F,SKEETER,1
1976,F,SKOOTZ,1
1976,F,SMOKEY,1
1976,F,SNOOPY,1
1976,F,SNOWBALL,1
1976,F,SNUGGLES,1
1976,F,SPAY,1
1976,F,SPICE,1
1976,F,SPOTTIE,1
1976,F,SPOTTY,1
1976,F,STINKER,1
1976,F,STORMEY,1
1976,F,STORMY,1
1976,F,STUFFY,1
1976,F,SU-MET,1
1976,F,SUGAR,1
1976,F,SUKY,1
1976,F,SUNSHINE,1
1976,F,SUSIE,1
1976,F,SUZIE,1
1976,F,SWEETIE,1
1976,F,TAMARA,1
1976,F,TAMMY,2
1976,F,TANGAREEN,1
1976,F,TANGI,1
1976,F,TARA,1
1976,F,TAYNA,1
1976,F,TERRY,1
1976,F,TINA,2
1976,F,TINY,4
1976,F,TIPPY,1
1976,F,TOBY,2
1976,F,TRACY,1
1976,F,TRIXIE,1
1976,F,TURI,1
1976,F,TYLENOL,1
1976,F,VELVET,1
