RowNum,BirthYear,animalGender,AnimalName,DogCount
3,2010,F,PRINCESS,173
4,2010,F,DAISY,129
5,2010,F,LUCY,120
6,2010,F,COCO,118
7,2010,F,CHLOE,103
8,2010,F,LUNA,102
9,2010,F,MOLLY,102
10,2010,F,LILY,93
1,2011,F,BELLA,255
2,2011,F,COCO,142
3,2011,F,LOLA,129
4,2011,F,LUCY,127
5,2011,F,PRINCESS,123
6,2011,F,DAISY,97
7,2011,F,CHLOE,92
8,2011,F,LUNA,82
9,2011,F,MOLLY,78
10,2011,F,STELLA,77
1,2012,F,BELLA,229
2,2012,F,LOLA,162
3,2012,F,PRINCESS,133
4,2012,F,COCO,125
5,2012,F,LUCY,122
6,2012,F,DAISY,109
7,2012,F,LUNA,93
8,2012,F,MOLLY,89
9,2012,F,PENNY,84
10,2012,F,CHLOE,83
1,2013,F,BELLA,253
2,2013,F,LOLA,149
3,2013,F,LUCY,110
4,2013,F,LUNA,110
5,2013,F,COCO,91
6,2013,F,PRINCESS,86
7,2013,F,DAISY,82
8,2013,F,MIA,82
9,2013,F,PENNY,80
10,2013,F,CHLOE,75
1,2014,F,BELLA,212
2,2014,F,LUCY,125
3,2014,F,LOLA,121
4,2014,F,LUNA,120
5,2014,F,COCO,97
6,2014,F,DAISY,86
7,2014,F,PRINCESS,82
8,2014,F,CHLOE,64
9,2014,F,MOLLY,63
10,2014,F,PENNY,61
1,2015,F,BELLA,177
2,2015,F,LUNA,140
3,2015,F,LOLA,127
4,2015,F,LUCY,94
5,2015,F,PENNY,80
6,2015,F,PRINCESS,76
7,2015,F,COCO,75
8,2015,F,DAISY,72
9,2015,F,MIA,69
10,2015,F,CHLOE,68
1,2016,F,BELLA,209
2,2016,F,LUNA,169
3,2016,F,LUCY,95
4,2016,F,LOLA,93
5,2016,F,PRINCESS,88
6,2016,F,DAISY,81
7,2016,F,CHLOE,75
8,2016,F,COCO,71
9,2016,F,PENNY,69
10,2016,F,ROSIE,58
1,2017,F,LUNA,184
2,2017,F,BELLA,158
3,2017,F,LOLA,101
4,2017,F,COCO,95
5,2017,F,DAISY,73
6,2017,F,LUCY,73
7,2017,F,MIA,71
8,2017,F,RUBY,68
9,2017,F,CHLOE,59
10,2017,F,PRINCESS,59
1,2018,F,LUNA,153
2,2018,F,BELLA,144
3,2018,F,LOLA,72
4,2018,F,LUCY,58
5,2018,F,PENNY,56
6,2018,F,COCO,52
7,2018,F,DAISY,50
8,2018,F,MIA,47
9,2018,F,LILY,44
10,2018,F,ROSIE,42
1,2019,F,BELLA,45
2,2019,F,LUNA,44
3,2019,F,COCO,21
4,2019,F,LOLA,21
5,2019,F,PRINCESS,16
6,2019,F,DAISY,15
7,2019,F,MIA,13
8,2019,F,NALA,13
9,2019,F,PENNY,12
10,2019,F,LUCY,10
